jrone_no,marka,model,ccm,snaga,motor,god,model_turbine,oe_1,oe_2,cena,query_jrone_no,query_oe1,query_oe2,ccm_numbers,snaga_numbers
8B35-200-A85,RENAULT,Passenger Car,1.5L D,86HP,K9K Euro4,2003-,KP35,8200392656,5435-970-0012,239.34,8B35200A85,8200392656,54359700012,1.5,86
8B35-200-A85,RENAULT,Passenger Car,1.5L D,86HP,K9K-766/796 Euro4,2003-,KP35,7701476880,5435-988-0029,239.34,8B35200A85,7701476880,54359880029,1.5,86
8B35-200-B15,FIAT,Cinquecento,1.25L D,70HP,SJTD/MJTD,2005-,KP35,55202637,5435-970-0018,239.34,8B35200B15,55202637,54359700018,1.25,70
8B35-200-B15,FIAT,500,1.25L D,70HP,SJTD/MJTD,2005-,KP35,860028,5435-970-0018,239.34,8B35200B15,860028,54359700018,1.25,70
8B35-200-B15,FIAT,Grande Punto,1.25L D,70HP,SJTD/MJTD,2005-,KP35,93191833,5435-988-0018,239.34,8B35200B15,93191833,54359880018,1.25,70
8B35-200-B15,FIAT,Panda,1.25L D,70HP,SJTD/MJTD,2005-,KP35,71724552,5435-970-0018,239.34,8B35200B15,71724552,54359700018,1.25,70
8B35-200-B15,FIAT,Punto Evo,1.25L D,70HP,SJTD/MJTD,2005-,KP35,5860028,5435-988-0018,239.34,8B35200B15,5860028,54359880018,1.25,70
8B35-200-B15,FIAT,Fiorino,1.25L D,70HP,SJTD/MJTD,2005-,KP35,93187874,5435-970-0018,239.34,8B35200B15,93187874,54359700018,1.25,70
8B35-200-B15,FIAT,Qubo,1.25L D,70HP,SJTD/MJTD,2005-,KP35,55202638,5435-988-0018,239.34,8B35200B15,55202638,54359880018,1.25,70
8B35-200-E16,DACIA,Dokker,1.5L D,88HP,K9K Euro5,2010-,KP35,82728353,5435-971-0028,274.8,8B35200E16,82728353,54359710028,1.5,88
8B35-200-E16,DACIA,Dokker,1.5L D,88HP,K9K Euro5,2010-,KP35,8200439551,5435-971-0025,274.8,8B35200E16,8200439551,54359710025,1.5,88
8B35-200-E16,DACIA,Dokker,1.5L D,88HP,K9K Euro5,2010-,KP35,8200841167,5435-988-0025,274.8,8B35200E16,8200841167,54359880025,1.5,88
8B35-200-E16,RENAULT,Passenger Car,1.46L D,88HP,K9K Euro5,2010-,KP35,8200889694,5435-998-0028,274.8,8B35200E16,8200889694,54359980028,1.46,88
8B35-200-E16,RENAULT,Passenger Car,1.46L D,88HP,K9K Euro5,2010-,KP35,144116446R,5435-988-0028,274.8,8B35200E16,144116446R,54359880028,1.46,88
8B35-200-E16,RENAULT,Passenger Car,1.46L D,88HP,K9K Euro5,2010-,KP35,8200728090,5435-970-0025,274.8,8B35200E16,8200728090,54359700025,1.46,88
8B35-300-441,ALFA ROMEO,Mito,1.4 D,90HP,Multijet,2006-,KP35,55198317,5435-970-0014,362.79,8B35300441,55198317,54359700014,1.4,90
8B35-300-441,FIAT,Grande Punto,1.4 D,90HP,Multijet,2006-,KP35,71789039,5435-988-0014,362.79,8B35300441,71789039,54359880014,1.4,90
8B35-300-441,FIAT,Punto Evo,1.4 D,90HP,Multijet,2006-,KP35,93189317,5435-970-0014,362.79,8B35300441,93189317,54359700014,1.4,90
8B35-300-441,FIAT,Idea,1.4 D,90HP,Multijet,2006-,KP35,71724104,5435-988-0014,362.79,8B35300441,71724104,54359880014,1.4,90
8B35-300-441,FIAT,Linea,1.4 D,90HP,Multijet,2006-,KP35,55198317,5435-970-0014,362.79,8B35300441,55198317,54359700014,1.4,90
8B35-300-441,FIAT,Doblò,1.4 D,90HP,Multijet,2006-,KP35,71789039,5435-988-0014,362.79,8B35300441,71789039,54359880014,1.4,90
8B35-300-441,LANCIA,Musa,1.4 D,90HP,Multijet,2006-,KP35,93189317,5435-970-0014,362.79,8B35300441,93189317,54359700014,1.4,90
8B35-300-441,LANCIA,Ypsilon,1.4 D,90HP,Multijet,2006-,KP35,71724104,5435-988-0014,362.79,8B35300441,71724104,54359880014,1.4,90
8B35-300-441,OPEL,Corsa D,1.4 D,90HP,Multijet,2006-,KP35,55198317,5435-988-0014,362.79,8B35300441,55198317,54359880014,1.4,90
8B35-300-651,FIAT,Doblo,1.3,95HP,SJTD,2007-,BV35,860164,5435-970-0027,408.28,8B35300651,860164,54359700027,1.3,95
8B35-300-651,FIAT,Passenger Car,1.3,95HP,SJTD,2007-,BV35,55216672,5435-970-0027,408.28,8B35300651,55216672,54359700027,1.3,95
8B39-300-085,RENAULT,Megane,1.5 dCi,100HP,K9K-THP,2004-2005,KP39,7701475135,5439-988-0027,469.3,8B39300085,7701475135,54399880027,1.5,100
8B39-300-085,RENAULT,Scenic,1.5 dCi,100HP,K9K-THP,2004-2005,KP39,7701476183,5439-970-0027,469.3,8B39300085,7701476183,54399700027,1.5,100
8B39-300-085,RENAULT,Clio II,1.5 dCi,100HP,K9K-THP,2004-2005,KP39,7711368163,5439-988-0002,469.3,8B39300085,7711368163,54399880002,1.5,100
8B39-300-085,RENAULT,Megane,1.5 dCi,100HP,K9K-THP,2004-2005,KP39,8200204572,5439-970-0002,469.3,8B39300085,8200204572,54399700002,1.5,100
8B39-300-085,RENAULT,Scenic,1.5 dCi,100HP,K9K-THP,2004-2005,KP39,8200578315,5439-988-0027,469.3,8B39300085,8200578315,54399880027,1.5,100
8B39-300-373,NISSAN,Qashqai,1.5 DCI,110HP,K9K,2005-,BV39,14411-00Q0F,5439-988-0070,422.35,8B39300373,1441100Q0F,54399880070,1.5,110
8B39-300-373,RENAULT,Clio,1.5 DCI,110HP,K9K,2005-,BV39,14411-00Q0F,5439-970-0030,422.35,8B39300373,1441100Q0F,54399700030,1.5,110
8B39-300-373,RENAULT,Megane,1.5 DCI,110HP,K9K,2005-,BV39,7711368560,5439-988-0030,422.35,8B39300373,7711368560,54399880030,1.5,110
8B39-300-373,RENAULT,Modus,1.5 DCI,110HP,K9K,2005-,BV39,7701476883,5439-970-0070,422.35,8B39300373,7701476883,54399700070,1.5,110
8B39-300-373,RENAULT,Fluence,1.5 DCI,110HP,K9K,2005-,BV39,8200405203,5439-988-0070,422.35,8B39300373,8200405203,54399880070,1.5,110
8B39-300-373,RENAULT,Scenic,1.5 DCI,110HP,K9K,2005-,BV39,8200507856,5439-970-0030,422.35,8B39300373,8200507856,54399700030,1.5,110
8B39-300-373,RENAULT,Laguna,1.5 DCI,110HP,K9K,2005-,BV39,8200578381,5439-988-0030,422.35,8B39300373,8200578381,54399880030,1.5,110
8B39-300-373,RENAULT,Clio,1.5 DCI,110HP,K9K,2005-,BV39,8200625683,5439-970-0070,422.35,8B39300373,8200625683,54399700070,1.5,110
8B39-300-893,RENAULT,MEGANE III hatchback,1.5 DCI,106HP,K9K Euro5 5T,2009-,BV39,8200808701,5439-970-0127,508.4,8B39300893,8200808701,54399700127,1.5,106
8B39-300-893,RENAULT,FLUENCE,1.5 DCI,106HP,K9K Euro5 5T,2010-,BV39,8200889697,5439-988-0127,508.4,8B39300893,8200889697,54399880127,1.5,106
8B39-300-893,RENAULT,GRAND SCENIC III,1.5 DCI,106HP,K9K Euro5 5T,2009-,BV39,144114256R,5439-998-0127,508.4,8B39300893,144114256R,54399980127,1.5,106
8B39-300-893,RENAULT,MEGANE CC,1.5 DCI,106HP,K9K Euro5 5T,2009-,BV39,144116289R,5439-970-0087,508.4,8B39300893,144116289R,54399700087,1.5,106
